iter	Passed	Remaining
0	133	39949
1	136	20265
2	138	13756
3	142	10518
4	145	8587
5	148	7285
6	151	6346
7	154	5639
8	157	5086
9	160	4653
10	163	4296
11	166	3990
12	169	3739
13	171	3513
14	174	3324
15	177	3152
16	180	3003
17	183	2868
18	185	2750
19	188	2642
20	191	2548
21	194	2457
22	197	2376
23	199	2299
24	202	2229
25	204	2158
26	207	2100
27	210	2044
28	213	1993
29	215	1943
30	218	1894
31	220	1845
32	222	1798
33	223	1749
34	226	1713
35	229	1680
36	231	1646
37	234	1614
38	236	1585
39	238	1553
40	241	1524
41	243	1493
42	245	1464
43	247	1441
44	250	1418
45	252	1396
46	255	1376
47	258	1355
48	260	1336
49	263	1317
50	266	1298
51	269	1282
52	271	1265
53	274	1248
54	276	1231
55	277	1210
56	280	1196
57	283	1182
58	286	1168
59	288	1154
60	291	1141
61	293	1128
62	296	1114
63	299	1103
64	302	1091
65	304	1080
66	307	1068
67	310	1057
68	312	1047
69	315	1036
70	318	1026
71	320	1015
72	323	1005
73	325	995
74	328	985
75	331	976
76	333	967
77	336	958
78	339	948
79	342	941
80	345	933
81	347	924
82	350	916
83	353	907
84	355	899
85	358	891
86	360	883
87	363	875
88	366	867
89	368	860
90	371	853
91	374	846
92	377	839
93	380	833
94	383	826
95	385	819
96	388	812
97	390	805
98	393	798
99	396	792
100	399	786
101	401	780
102	404	773
103	407	767
104	409	760
105	412	755
106	415	749
107	418	743
108	420	737
109	423	731
110	425	724
111	428	719
112	430	713
113	433	707
114	436	702
115	439	696
116	441	690
117	444	685
118	447	680
119	450	675
120	452	669
121	455	664
122	458	659
123	460	653
124	463	648
125	465	643
126	468	638
127	471	633
128	474	628
129	476	623
130	479	618
131	480	612
132	482	605
133	483	599
134	485	593
135	486	586
136	488	580
137	490	575
138	491	569
139	493	564
140	495	558
141	496	552
142	498	547
143	499	541
144	502	536
145	504	532
146	506	527
147	507	521
148	509	516
149	510	510
150	512	505
151	513	500
152	514	494
153	517	490
154	520	486
155	522	482
156	523	476
157	525	472
158	527	467
159	529	463
160	530	458
161	533	454
162	534	449
163	536	445
164	538	440
165	539	435
166	541	430
167	542	426
168	543	421
169	546	417
170	548	414
171	552	411
172	554	406
173	557	403
174	560	400
175	562	396
176	564	392
177	567	389
178	569	385
179	572	381
180	574	377
181	577	374
182	580	370
183	582	367
184	585	364
185	588	360
186	591	357
187	593	353
188	596	350
189	598	346
190	601	343
191	604	339
192	606	336
193	609	332
194	612	329
195	613	325
196	616	322
197	618	318
198	620	315
199	623	311
200	625	308
201	628	304
202	630	301
203	633	298
204	635	294
205	638	291
206	641	288
207	643	284
208	646	281
209	649	278
210	652	275
211	654	271
212	655	267
213	657	264
214	659	260
215	662	257
216	663	253
217	666	250
218	669	247
219	671	244
220	674	241
221	677	237
222	679	234
223	681	231
224	684	228
225	687	225
226	690	221
227	692	218
228	695	215
229	698	212
230	701	209
231	703	206
232	706	203
233	708	199
234	711	196
235	714	193
236	717	190
237	719	187
238	722	184
239	725	181
240	728	178
241	730	175
242	733	172
243	736	169
244	739	165
245	741	162
246	744	159
247	746	156
248	749	153
249	751	150
250	753	147
251	754	143
252	757	140
253	760	137
254	762	134
255	765	131
256	767	128
257	770	125
258	772	122
259	775	119
260	777	116
261	780	113
262	783	110
263	785	107
264	788	104
265	791	101
266	794	98
267	796	95
268	799	92
269	802	89
270	804	86
271	807	83
272	810	80
273	812	77
274	814	74
275	817	71
276	820	68
277	822	65
278	825	62
279	827	59
280	830	56
281	833	53
282	835	50
283	838	47
284	841	44
285	843	41
286	846	38
287	849	35
288	851	32
289	854	29
290	857	26
291	860	23
292	863	20
293	866	17
294	869	14
295	871	11
296	874	8
297	876	5
298	879	2
299	882	0
